time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-27T11:46:58.989Z,32.697,76.144,10,4.5,mb,,114,2.592,0.75,us,us70008h7l,2020-06-13T18:44:49.040Z,"14km N of Chamba, India",earthquake,3.7,1.9,0.083,42,reviewed,us,us
2020-03-11T14:19:31.898Z,32.568,78.4627,10,4,mb,,139,4.49,1,us,us60008dp6,2020-05-30T22:17:02.040Z,"87km NNW of Sibgyi, China",earthquake,5.9,2,0.156,11,reviewed,us,us
2020-03-09T21:44:27.265Z,36.1271,80.1517,10,4.4,mb,,91,5.118,0.75,us,us60008cv9,2020-05-23T22:03:33.040Z,"109km S of Hotan, China",earthquake,6.1,1.7,0.123,19,reviewed,us,us
2020-02-28T11:07:11.020Z,32.9646,76.3114,10,4.2,mb,,116,2.638,0.95,us,us60008612,2020-05-19T22:14:07.040Z,"47km NNE of Chamba, India",earthquake,7.7,1.6,0.132,16,reviewed,us,us
2020-02-26T15:04:08.953Z,32.9752,76.2474,10,5,mb,,37,2.583,0.85,us,us600084lt,2020-05-19T22:13:57.040Z,"46km NNE of Chamba, India",earthquake,4.7,1.7,0.041,189,reviewed,us,us
2020-02-18T23:11:58.225Z,35.6198,74.5363,10,4.3,mb,,96,2.225,1,us,us70007vxz,2020-05-02T22:10:37.040Z,"39km SSE of Gilgit, Pakistan",earthquake,7.7,1.9,0.153,12,reviewed,us,us
2020-02-17T07:16:25.977Z,35.6065,74.5291,10,4.4,mb,,69,2.21,0.79,us,us70007u9h,2020-05-02T22:10:32.040Z,"40km SSE of Gilgit, Pakistan",earthquake,8.7,1.9,0.123,19,reviewed,us,us
2020-02-08T01:01:46.831Z,30.0278,79.9831,18.78,4.7,mb,,97,6.758,0.66,us,us70007lc7,2020-04-25T22:18:34.040Z,"28km NE of Bageshwar, India",earthquake,8.9,4.4,0.063,76,reviewed,us,us
2020-01-27T14:26:29.446Z,35.6993,75.2078,10,4.5,mb,,201,2.594,0.49,us,us60007h9c,2020-04-11T18:20:56.040Z,"50km NE of Idgah, Pakistan",earthquake,9.8,1.9,0.242,5,reviewed,us,us
2020-01-12T05:23:56.526Z,35.0149,74.474,10,5.1,mb,,68,1.687,0.67,us,us70006ymh,2020-04-02T21:28:19.040Z,"50km SW of Idgah, Pakistan",earthquake,4.4,1.4,0.036,244,reviewed,us,us
2019-12-31T01:02:55.716Z,35.5447,74.6636,63.86,4.3,mb,,83,2.212,0.94,us,us70006ss7,2020-03-14T22:23:00.040Z,"28km NW of Idgah, Pakistan",earthquake,7.2,3.6,0.101,29,reviewed,us,us
2019-12-31T00:52:51.117Z,35.6732,74.716,10,4.2,mb,,99,2.344,1.18,us,us70006ss4,2020-03-14T22:23:00.040Z,"38km NNW of Idgah, Pakistan",earthquake,9.6,1.9,0.132,16,reviewed,us,us
